57	Căn hộ
76	Căn hộ dịch vụ
62	Nhà riêng
63	Nhà mặt phố
66	Nhà phố thương mại Shophouse
56	Nhà biệt thự, liền kề
58	Đất
79	Đất nền dự án
81	Nhà trọ, phòng trọ
59	Văn phòng
86	Cửa hàng, mặt bằng bán lẻ
87	Đất, nhà xưởng, kho bãi
61	Bất động sản khác
